date,open,high,low,close,volume,source
2026-08-03,10.03,10.08,10.02,10.08,68534288,TWSE
2026-08-04,10.14,10.21,10.14,10.18,57362518,TWSE
2026-08-05,10.38,10.39,10.28,10.29,51361328,TWSE
2026-08-06,10.29,10.29,10.24,10.28,37038290,TWSE
2026-08-07,10.24,10.24,10.2,10.22,24539467,TWSE
2026-08-10,10.31,10.32,10.29,10.32,23700947,TWSE
2026-08-11,10.31,10.32,10.3,10.32,22360188,TWSE
2026-08-12,10.29,10.3,10.27,10.29,23159847,TWSE
2026-08-13,10.32,10.32,10.29,10.31,24721847,TWSE
2026-08-14,10.32,10.33,10.29,10.3,24828431,TWSE
2026-08-17,10.3,10.3,10.26,10.28,22679715,TWSE
2026-08-18,10.25,10.25,10.16,10.18,32164847,TWSE
2026-08-19,10.13,10.13,10.1,10.12,23735382,TWSE
2026-08-20,10.15,10.17,10.14,10.16,9277477,TWSE
2026-08-21,10.12,10.14,10.11,10.13,16761940,TWSE
2026-08-24,10.13,10.16,10.12,10.13,19206644,TWSE
2026-08-25,10.13,10.14,10.1,10.14,14310125,TWSE
2026-08-26,10.15,10.16,10.12,10.16,13087730,TWSE
2026-08-27,10.22,10.22,10.16,10.16,12541004,TWSE
2026-08-28,10.14,10.15,10.12,10.13,19445185,TWSE
2026-08-31,10.09,10.1,10.05,10.1,26016833,TWSE
2026-09-01,10.1,10.12,10.07,10.07,18729634,TWSE
