date,usd_twd,source
2026-08-03,32.438,CBC
2026-08-04,32.447,CBC
2026-08-05,32.315,CBC
2026-08-06,32.261,CBC
2026-08-07,32.288,CBC
2026-08-10,32.231,CBC
2026-08-11,32.278,CBC
2026-08-12,32.246,CBC
2026-08-13,32.168,CBC
2026-08-14,32.046,CBC
2026-08-17,31.852,CBC
2026-08-18,31.945,CBC
2026-08-19,31.937,CBC
2026-08-20,31.925,CBC
2026-08-21,31.848,CBC
2026-08-24,31.854,CBC
2026-08-25,31.868,CBC
2026-08-26,31.818,CBC
2026-08-27,31.708,CBC
2026-08-28,31.628,CBC
2026-08-31,31.666,CBC
2026-09-01,31.633,CBC
2026-09-02,31.728,CBC
2026-09-03,31.755,CBC
2026-09-04,31.63,CBC
