date,open,high,low,close,volume,source
2026-08-03,156.40,157.72,156.19,157.61,2439345.392,Vanguard
2026-08-04,158.59,160.78,158.51,160.45,2839038.858,Vanguard
2026-08-05,161.34,162.00,160.12,160.17,2386031.244,Vanguard
2026-08-06,160.10,160.68,159.77,159.92,4295862.095,Vanguard
2026-08-07,161.01,161.38,160.53,161.30,2952747.701,Vanguard
2026-08-10,161.00,161.35,160.85,160.97,2425918.596,Vanguard
2026-08-11,161.45,161.54,160.54,160.82,1646008.809,Vanguard
2026-08-12,161.90,162.00,161.33,161.53,3041793.871,Vanguard
2026-08-13,161.92,162.68,161.82,162.39,2324441.079,Vanguard
2026-08-14,162.56,162.71,162.01,162.25,1925365.881,Vanguard
2026-08-17,162.27,162.56,161.77,161.83,3566327.483,Vanguard
2026-08-18,160.81,161.03,160.00,160.06,1975473.185,Vanguard
2026-08-19,161.01,161.37,160.54,160.70,2481467.206,Vanguard
2026-08-20,160.33,160.83,159.81,159.93,2072586.470,Vanguard
2026-08-21,160.90,161.17,160.46,160.77,1552067.345,Vanguard
2026-08-24,160.48,160.50,159.78,160.10,1827098.678,Vanguard
2026-08-25,160.88,161.05,160.32,160.99,2569887.580,Vanguard
2026-08-26,160.93,161.29,160.58,160.87,1375524.892,Vanguard
2026-08-27,161.16,161.76,160.92,161.57,2016670.742,Vanguard
2026-08-28,161.77,162.20,160.76,161.01,1593197.734,Vanguard
2026-08-31,160.97,161.00,160.17,160.55,2027659.104,Vanguard
